x,y,z,Cell Type
0.0677927,0.40633,-0.0400107,Arterial Endothelial
0.0540303,0.430735,-0.0358232,Arterial Endothelial
0.0434874,0.423045,-0.0340469,Arterial Endothelial
0.0466011,0.426807,-0.040355,Arterial Endothelial
0.043226,0.419992,-0.0629619,Arterial Endothelial
0.0597736,0.419077,-0.0430326,Arterial Endothelial
0.0509744,0.435034,-0.0439692,Arterial Endothelial
0.0405574,0.441448,-0.0524763,Arterial Endothelial
0.0443336,0.417088,-0.0359856,Arterial Endothelial
0.0638333,0.42719,-0.0235652,Arterial Endothelial
0.023731,0.452554,-0.0425635,Arterial Endothelial
0.0517852,0.445947,-0.023239,Arterial Endothelial
0.0421788,0.448039,-0.0393681,Arterial Endothelial
0.0774344,0.410618,-0.0409706,Arterial Endothelial
0.0348264,0.440253,-0.0374157,Arterial Endothelial
0.0276235,0.449314,-0.0463546,Arterial Endothelial
0.0455063,0.433147,-0.0337758,Arterial Endothelial
0.0601254,0.440465,-0.0438875,Arterial Endothelial
0.0287875,0.420994,-0.071294,Arterial Endothelial
0.0545222,0.422079,-0.0582926,Arterial Endothelial
0.0508651,0.440819,-0.0321099,Arterial Endothelial
0.0205067,0.41232,-0.0628143,Arterial Endothelial
0.0364488,0.410901,-0.0463299,Arterial Endothelial
0.0665612,0.419723,-0.0213338,Arterial Endothelial
0.0567307,0.433188,-0.0435156,Arterial Endothelial
0.0270569,0.426842,-0.0596352,Arterial Endothelial
0.0700352,0.405009,-0.028348,Arterial Endothelial
0.0512056,0.415351,-0.0407022,Arterial Endothelial
0.0475105,0.402785,-0.0588732,Arterial Endothelial
0.0631752,0.422836,-0.0223421,Arterial Endothelial
0.0575234,0.432172,-0.0256706,Arterial Endothelial
0.0548483,0.41116,-0.0507925,Arterial Endothelial
0.0452247,0.429569,-0.0563219,Arterial Endothelial
0.0473216,0.420594,-0.0299906,Arterial Endothelial
0.030159,0.413616,-0.062303,Arterial Endothelial
0.0544574,0.41948,-0.0553619,Arterial Endothelial
0.0322959,0.425503,-0.0525247,Arterial Endothelial
0.0535985,0.435511,-0.0391115,Arterial Endothelial
0.0321474,0.432949,-0.0563141,Arterial Endothelial
0.0407442,0.407137,-0.0449674,Arterial Endothelial
0.0270889,0.419198,-0.0473156,Arterial Endothelial
0.0186696,0.431196,-0.0486337,Arterial Endothelial
0.0670348,0.412643,-0.0278775,Arterial Endothelial
0.0341376,0.406643,-0.0637446,Arterial Endothelial
0.042013,0.432584,-0.0496822,Arterial Endothelial
0.0575901,0.411457,-0.052438,Arterial Endothelial
0.0485363,0.411933,-0.0381348,Arterial Endothelial
0.0586151,0.421492,-0.0446456,Arterial Endothelial
0.0328345,0.430321,-0.0521846,Arterial Endothelial
0.033092,0.432138,-0.0476993,Arterial Endothelial
0.0379114,0.437483,-0.0468838,Arterial Endothelial
0.0316203,0.441559,-0.046058,Arterial Endothelial
0.0577142,0.428179,-0.0451733,Arterial Endothelial
0.0168224,0.426698,-0.0667865,Arterial Endothelial
0.0506136,0.426485,-0.0557074,Arterial Endothelial
0.0352605,0.424238,-0.0559074,Arterial Endothelial
0.0409434,0.444706,-0.0442863,Arterial Endothelial
0.0328436,0.429397,-0.045778,Arterial Endothelial
0.0288985,0.452215,-0.0415506,Arterial Endothelial
0.0255541,0.446662,-0.0513763,Arterial Endothelial
0.0276237,0.459307,-0.0486932,Capillary Endothelial
0.0227556,0.420588,-0.0527772,Capillary Endothelial
0.0236032,0.408869,-0.0605066,Capillary Endothelial
0.038002,0.446753,-0.0343346,Capillary Endothelial
0.0448288,0.405319,-0.0577347,Capillary Endothelial
0.0705617,0.421183,-0.0423956,Capillary Endothelial
0.0430751,0.438026,-0.0246219,Capillary Endothelial
0.0333941,0.457022,-0.053873,Capillary Endothelial
0.0459328,0.420314,-0.0414681,Capillary Endothelial
0.030348,0.424332,-0.0552404,Capillary Endothelial
0.0493171,0.438234,-0.0467275,Capillary Endothelial
0.0354124,0.415601,-0.0431414,Capillary Endothelial
0.0286062,0.413083,-0.0574625,Capillary Endothelial
0.03841,0.433462,-0.0400192,Capillary Endothelial
0.0771005,0.411893,-0.0309975,Capillary Endothelial
0.0272948,0.409055,-0.067027,Capillary Endothelial
0.0658025,0.417109,-0.0294644,Capillary Endothelial
0.0546033,0.426775,-0.051769,Capillary Endothelial
0.0353539,0.457264,-0.0524028,Capillary Endothelial
0.0468289,0.40141,-0.0524266,Capillary Endothelial
0.063068,0.404618,-0.0425142,Capillary Endothelial
0.0637221,0.428672,-0.0270768,Capillary Endothelial
0.0481348,0.408055,-0.0438434,Capillary Endothelial
